Component,Quantity,Reference Designator,Customer Reference,Value,Quantity Per PCB,Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Footprint,Description,Datasheet,Part,Mouser Part Number,Build Quantity,References,UserGuide
1, 3, BZ1, BZ1,Speaker,1,445-2526-1-ND,TDK Corporation,PS1420P02CT,PS1420P02CT,"Buzzer, polarized",https://product.tdk.com/info/en/catalog/datasheets/piezoelectronic_buzzer_ps_en.pdf,Buzzer,810-PS1420P02CT,3,BZ1,
2, 6, C15 C16, C15 C16,22pF,2,BC1005CT-ND,Vishay Beyschlag/Draloric/BC Components,K220J15C0GF5TL2,C_Disc_D3.8mm_W2.6mm_P2.50mm,Unpolarized capacitor,https://www.vishay.com/docs/45171/kseries.pdf,C,594-K220J15C0GF5TL2,6,C15 C16,
3, 3, C25, C25,100pF,1,BC1013CT-ND,Vishay Beyschlag/Draloric/BC Components,K101J15C0GF5TL2,C_Disc_D3.8mm_W2.6mm_P2.50mm,Unpolarized capacitor,https://www.vishay.com/docs/45171/kseries.pdf,C,594-K101J15C0GF5TL2,3,C25,
4, 3, C23, C23,10nF,1,445-173474-1-ND,TDK Corporation,FG28C0G1H103JNT06,C_Disc_D4.7mm_W2.5mm_P5.00mm,Unpolarized capacitor,https://product.tdk.com/info/en/catalog/datasheets/leadmlcc_halogenfree_fg_en.pdf,C,810-FG28C0G1H103JNT6,3,C23,
5, 33, C1 C2 C3 C4 C9 C13 C14 C17 C21 C22 C26, C1 C2 C3 C4 C9 C13 C14 C17 C21 C22 C26,0.1uF,11,399-13932-ND,KEMET,C322C104J5R5TA,C_Disc_D5.1mm_W3.2mm_P5.00mm,Unpolarized capacitor,https://content.kemet.com/datasheets/KEM_C1050_GOLDMAX_X7R.pdf,C,80-C322C104J5R,33,C1 C2 C3 C4 C9 C13 C14 C17 C21 C22 C26,
6, 3, C24, C24,1uF,1,399-13901-ND,KEMET,C330C105J5R5TA,C_Disc_D7.5mm_W4.4mm_P5.00mm,Unpolarized capacitor,https://product.tdk.com/info/en/catalog/datasheets/leadmlcc_halogenfree_fg_en.pdf,C,80-C330C105J5R,3,C24,
7, 9, C5 C6 C7, C5 C6 C7,220uF,3,P16296-ND,Panasonic Electronic Components,16SEPC220MD,CP_Radial_D8.0mm_P3.50mm,"Polarized capacitor, US symbol",https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C247.pdf,CP1,667-16SEPC220MD,9,C5 C6 C7,
8, 33, D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11, D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11,1N5817,11,497-4547-1-ND,STMicroelectronics,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,"20V 1A Schottky Barrier Rectifier Diode, DO-41",https://www.st.com/content/ccc/resource/technical/document/datasheet/26/db/14/60/52/47/47/5b/CD00001625.pdf/files/CD00001625.pdf/jcr:content/translations/en.CD00001625.pdf,1N5817,511-1N5817,33,D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11,
9, 3, DS1, DS1,NHD-0420CW-SPI,1,NHD-0420CW-AB3-ND,Newhaven Display Intl,NHD-0420CW-AB3,NHD_NHD-0420CW-AG3,"20x4 Character LCD Display Module Passive 5 x 8 Dots OLED Parallel, 8-Bit, I²C, SPI",https://www.newhavendisplay.com/specs/NHD-0420CW-AB3.pdf,NHD-0420CW-SPI,763-NHD-0420CW-AB3,3,DS1,https://www.newhavendisplay.com/app_notes/US2066.pdf
10, 6, FB1 FB2, FB1 FB2,Ferrite_Bead,2,240-2493-ND,Laird-Signal Integrity Products,28C0236-0JW-10,LairdTech_28C0236-0JW-10,Ferrite bead,https://media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/Part%20Number%20Guide.pdf,Ferrite_Bead,875-28C0236-0JW-10,6,FB1 FB2,
